,0,1,2,3,4,5
0,23,43,22,5,16,14
1,3,10,36,41,23,21
2,24,34,6,43,28,30
3,42,3,25,37,16,17
4,41,17,2,28,37,30
5,29,34,2,11,25,18
6,15,12,14,38,15,30
7,7,3,32,3,35,31
8,37,43,26,14,33,35
9,21,16,37,43,17,18
10,37,7,44,5,32,7
11,27,38,38,44,28,41
12,7,33,20,8,20,30
13,22,27,15,6,16,1
14,3,31,45,33,9,20
15,24,34,5,24,6,26
16,15,9,25,29,6,21
17,3,2,22,25,2,37
18,26,28,4,2,16,21
19,25,38,21,19,8,8
20,8,1,34,13,7,45
21,10,40,19,25,39,30
22,1,36,25,3,18,24
23,30,7,9,4,38,19
24,14,43,31,27,10,7
25,11,33,34,1,11,39
26,34,32,32,36,45,10
27,21,24,43,12,20,42
28,13,38,40,21,36,5
29,13,41,36,5,13,6
30,8,12,18,13,15,30
31,18,32,5,28,43,38
32,17,17,10,3,25,39
33,34,28,15,21,10,17
34,9,24,28,25,24,43
35,33,45,42,20,17,9
36,43,9,9,5,30,24
37,27,41,40,32,27,14
38,21,15,15,6,42,1
39,26,16,29,5,23,23
40,28,11,45,24,36,25
41,21,4,30,19,38,20
42,12,14,18,33,38,26
43,21,31,32,31,13,2
44,6,23,16,21,18,25
45,14,30,44,10,32,15
46,42,25,28,4,24,18
47,22,25,5,4,6,12
48,8,45,17,38,25,32
49,12,6,21,19,8,10
50,13,6,14,11,33,39
51,27,3,4,24,35,17
52,36,13,16,29,38,42
53,1,37,42,13,21,7
54,8,42,43,3,29,5
55,42,42,38,24,15,33
56,3,44,10,32,29,28
57,25,15,20,12,7,29
58,19,37,30,4,41,27
59,40,40,19,38,3,10
60,43,28,31,32,4,21
61,1,26,17,41,18,35
62,23,33,22,30,41,11
63,40,16,28,32,3,38
64,35,3,8,5,2,2
65,28,23,11,30,42,20
66,16,9,7,8,19,13
67,34,33,39,25,41,4
68,24,16,21,13,8,40
69,40,16,12,20,20,1
70,21,40,29,16,41,25
71,9,11,40,37,21,33
72,22,9,6,44,25,31
73,6,25,19,20,1,24
74,1,27,3,14,32,24
75,3,11,9,29,39,11
76,25,35,4,1,19,31
77,32,14,1,30,33,44
78,8,27,11,25,25,7
79,19,28,8,3,45,13
80,11,44,10,16,30,40
81,27,8,27,41,19,7
82,26,37,11,4,4,33
83,24,4,14,35,12,1
84,8,33,37,40,26,15
85,35,32,13,37,33,3
86,8,37,25,21,9,19
87,43,42,43,40,23,25
88,23,19,23,18,23,8
89,26,4,9,43,28,28
90,7,22,30,6,12,42
91,13,35,45,38,25,37
92,22,3,6,42,9,11
93,8,36,5,33,19,17
94,12,20,13,35,6,2
95,15,25,14,6,19,16
96,42,9,1,41,28,20
97,7,37,21,24,19,28
98,28,45,41,18,31,45
99,2,32,1,37,13,34
100,3,28,10,25,32,28
101,2,5,26,20,4,11
102,10,4,37,40,28,32
103,18,14,5,16,37,18
104,29,41,12,5,6,40
105,45,10,31,31,13,26
106,27,25,13,35,22,1
107,2,28,45,43,45,42
108,11,39,24,5,3,6
